"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Sep 30 11:35:19 CDT 2019","Mon Sep 30 11:36:37 CDT 2019","78343","SPRCOM-92052 My Sprint App Android - Sales","SPRCOM_105700_Android_LoginAO_Sales","SPRCOM_92052_Android_Sales.SPRCOM_105700_Android_LoginAO_Sales_MainPage_AddNewLine_Cart","SPRCOM_92052_Android_Sales.SPRCOM_105700_Android_LoginAO_Sales_MainPage_AddNewLine_Cart","SPRCOM_105702","SPRCOM_105702","My Sprint app Login - Sales: 'Upgrade this device' on the MainPage"
"passed","Mon Sep 30 11:30:01 CDT 2019","Mon Sep 30 11:30:40 CDT 2019","39740","SPRCOM-92050 My Sprint App Android - Non login Payment","SPRCOM_105300_Android_NonLogin_Payment","SPRCOM_92050_Android_Payment.SPRCOM_105300_Android_NonLogin_CardTypeVerify","SPRCOM_92050_Android_Payment.SPRCOM_105300_Android_NonLogin_CardTypeVerify","SPRCOM_105306","SPRCOM_105306","Test the function of payment making with different types of card (Card Number Support)"
"passed","Mon Sep 30 11:34:48 CDT 2019","Mon Sep 30 11:35:18 CDT 2019","29813","SPRCOM-92052 My Sprint App Android - Sales","SPRCOM_105400_Android_LoginAO_Login","SPRCOM_92051_Android_LoginAO.SPRCOM_105400_Android_LoginAO_Login","SPRCOM_92051_Android_LoginAO.SPRCOM_105400_Android_LoginAO_Login","SPRCOM_105404","SPRCOM_105404","My Sprint app Login as account owner"
"failed","Mon Sep 30 11:36:37 CDT 2019","Mon Sep 30 11:37:53 CDT 2019","76140","SPRCOM-92052 My Sprint App Android - Sales","SPRCOM_105700_Android_LoginAO_Sales","SPRCOM_92052_Android_Sales.SPRCOM_105700_Android_LoginAO_Sales_MainPage_UpgradeAO_Cart","SPRCOM_92052_Android_Sales.SPRCOM_105700_Android_LoginAO_Sales_MainPage_UpgradeAO_Cart","SPRCOM_105706","SPRCOM_105706","My Sprint app Login - Sales: 'upgrade this device' on the MainPage"
"passed","Mon Sep 30 11:32:55 CDT 2019","Mon Sep 30 11:33:39 CDT 2019","44752","SPRCOM-92050 My Sprint App Android - Non login Payment","SPRCOM_105500_Android_Login_MakePayment","SPRCOM_92050_Android_Payment.SPRCOM_105500_Android_LoginAO_AddpaymentMethod","SPRCOM_92050_Android_Payment.SPRCOM_105500_Android_LoginAO_AddpaymentMethod","SPRCOM_105506","SPRCOM_105506","LoginAO Add New Card to account - from Payment page"
"passed","Mon Sep 30 11:34:13 CDT 2019","Mon Sep 30 11:34:48 CDT 2019","35006","SPRCOM-92052 My Sprint App Android - Sales","SPRCOM_105400_Android_LoginAO_Login","SPRCOM_92051_Android_LoginAO.SPRCOM_105400_Android_LoginAO_Login","SPRCOM_92051_Android_LoginAO.SPRCOM_105400_Android_LoginAO_Login","SPRCOM_105402","SPRCOM_105402","My Sprint app login as account owner"
"failed","Mon Sep 30 11:37:54 CDT 2019","Mon Sep 30 11:38:27 CDT 2019","33577","SPRCOM-92052 My Sprint App Android - Sales","SPRCOM_105700_Android_LoginAO_Sales","SPRCOM_92052_Android_Sales.SPRCOM_105700_Android_LoginAO_Sales_PriorityStatus","SPRCOM_92052_Android_Sales.SPRCOM_105700_Android_LoginAO_Sales_PriorityStatus","SPRCOM_105708","SPRCOM_105708","My Sprint app Login - Sales: 'upgrade this device' on the MainPage"
"passed","Mon Sep 30 11:28:24 CDT 2019","Mon Sep 30 11:29:11 CDT 2019","47830","SPRCOM-92050 My Sprint App Android - Non login Payment","SPRCOM_105300_Android_NonLogin_Payment","SPRCOM_92050_Android_Payment.SPRCOM_105300_Android_NonLogin_AddPaymentMethod","SPRCOM_92050_Android_Payment.SPRCOM_105300_Android_NonLogin_AddPaymentMethod","SPRCOM_105302","SPRCOM_105302","SPRCOM-105302 Payment - Add new payment method"
"passed","Mon Sep 30 11:29:24 CDT 2019","Mon Sep 30 11:30:00 CDT 2019","35474","SPRCOM-92050 My Sprint App Android - Non login Payment","SPRCOM_105300_Android_NonLogin_Payment","SPRCOM_92050_Android_Payment.SPRCOM_105300_Android_NonLogin_CardTypeVerify","SPRCOM_92050_Android_Payment.SPRCOM_105300_Android_NonLogin_CardTypeVerify","SPRCOM_105306","SPRCOM_105306","Test the function of payment making with different types of card (Card Number Support)"
"passed","Mon Sep 30 11:32:32 CDT 2019","Mon Sep 30 11:32:54 CDT 2019","22065","SPRCOM-92050 My Sprint App Android - Non login Payment","SPRCOM_105500_Android_Login_MakePayment","SPRCOM_92050_Android_Payment.SPRCOM_105500_Android_LoginAO_Payment_Basic","SPRCOM_92050_Android_Payment.SPRCOM_105500_Android_LoginAO_Payment_Basic","SPRCOM_105504","SPRCOM_105504","My Sprint App Android LoginAO Payment - Phase 2 - Basic Payment Functional Tests"
"passed","Mon Sep 30 11:29:12 CDT 2019","Mon Sep 30 11:29:24 CDT 2019","11940","SPRCOM-92050 My Sprint App Android - Non login Payment","SPRCOM_105300_Android_NonLogin_Payment","SPRCOM_92050_Android_Payment.SPRCOM_105300_Android_NonLogin_Payment_Amount","SPRCOM_92050_Android_Payment.SPRCOM_105300_Android_NonLogin_Payment_Amount","SPRCOM_105304","SPRCOM_105304","Basic Payment Functions - Amount Testing"
"failed","Mon Sep 30 11:30:41 CDT 2019","Mon Sep 30 11:31:17 CDT 2019","36414","SPRCOM-92050 My Sprint App Android - Non login Payment","SPRCOM_105300_Android_NonLogin_Payment","SPRCOM_92050_Android_Payment.SPRCOM_105300_Android_NonLogin_CardTypeVerify","SPRCOM_92050_Android_Payment.SPRCOM_105300_Android_NonLogin_CardTypeVerify","SPRCOM_105306","SPRCOM_105306","Test the function of payment making with different types of card (Card Number Support)"
